Loan_ID,Customer_ID,Purpose_Category,Purpose,State,Employment_Title,Employment_Level,Emp_Length_Years,Home_Ownership,Annual_Income,Income_Group,Income_Verification_Status,Verified_Income_Flag,Debt_to_Income_Ratio,DTI_Category,Total_Credit_Account,Loan_Amount,Loan_Size_Category,Interest_Rate,Interest_Rate_Category,EMI_Amount,Loan_Term_Months,Loan_Term_Category,Loan_Grade,Loan_Sub_Grade,Loan_Issue_Date,Last_Credit_Check_Date,Last_Payment_Date,Next_Payment_Due_Date,Loan_to_Income_Ratio,EMI_to_Income_Ratio,Total_Payment,Loan_Recovered_Percent,Loan_Recovery_Category,Loan_Status,Profit_Status,Risk_Score,Risk_Category,Risk_Aggregation,Data_Validation_Flag
1077430,1314167,Personal,Car,GA,Ryder,Fresher,0,Rent,30000,Lower Middle (25-75K),Source Verified,1,0.01,Low ( ≤10),4,2500,Small (<5K),0.1527,Medium (10-20),59.83,60,Long Term,C,C4,2021-02-11,2021-09-13,2021-04-13,2021-05-13,0.083333333,0.023932,1009,0.4036,Partially Recovered (25-75),Charged Off,Loss,0.644511196,Moderate,4.331115238,Valid
1072053,1288686,Personal,Car,CA,Mkc Accounting,Mid,9,Rent,48000,Lower Middle (25-75K),Source Verified,1,0.0535,Low ( ≤10),4,3000,Small (<5K),0.1864,Medium (10-20),109.43,36,Short Term,E,E1,2021-01-01,2021-12-14,2021-01-15,2021-02-15,0.0625,0.0273575,3939,1.313,Fully Recovered (≥100),Fully Paid,Profit,0.711182504,High,4.779146429,Valid
1069243,1304116,Personal,Car,CA,Chemat Technology Inc,Junior,4,Rent,50000,Lower Middle (25-75K),Not Verified,0,0.2088,High (>20),11,12000,Medium (5-15K),0.1596,Medium (10-20),421.65,36,Short Term,C,C5,2021-01-05,2021-12-12,2021-01-09,2021-02-09,0.24,0.101196,3522,0.2935,Partially Recovered (25-75),Charged Off,Loss,0.642217687,Moderate,4.315702857,Valid
1041756,1272024,Personal,Car,TX,Barnes Distribution,Fresher,0,Mortgage,42000,Lower Middle (25-75K),Source Verified,1,0.054,Low ( ≤10),9,4500,Small (<5K),0.1065,Medium (10-20),97.06,60,Long Term,B,B2,2021-02-25,2021-12-12,2021-03-12,2021-04-12,0.107142857,0.027731429,4911,1.091333333,Fully Recovered (≥100),Fully Paid,Profit,0.645453414,Moderate,4.337446939,Valid
1068350,1302971,Personal,Car,IL,J&J Steel Inc,Senior,10,Mortgage,83000,Middle (75-150K),Verified,2,0.0231,Low ( ≤10),28,3500,Small (<5K),0.0603,Low (≤10),106.53,36,Short Term,A,A1,2021-01-01,2021-12-14,2021-01-15,2021-02-15,0.042168675,0.015401928,3835,1.095714286,Fully Recovered (≥100),Fully Paid,Profit,0.336713743,Moderate,2.262716351,Valid
1062608,1294481,Personal,Car,CA,Studio 94 Corp,Junior,3,Rent,28000,Lower Middle (25-75K),Not Verified,0,0.126,Medium (10-20),11,8000,Medium (5-15K),0.1465,Medium (10-20),275.96,36,Short Term,C,C3,2021-07-17,2021-03-16,2021-08-12,2021-09-12,0.285714286,0.118268571,8637,1.079625,Fully Recovered (≥100),Fully Paid,Profit,0.622775753,Moderate,4.185053061,Valid
1067441,1301833,Personal,Car,TX,American Airlines,Senior,10,Mortgage,94800,Middle (75-150K),Verified,2,0.2453,High (>20),30,6000,Medium (5-15K),0.1427,Medium (10-20),205.86,36,Short Term,C,C2,2021-11-19,2021-06-14,2021-12-13,2022-01-13,0.063291139,0.026058228,7218,1.203,Fully Recovered (≥100),Fully Paid,Profit,0.563158206,Moderate,3.784423146,Valid
1066424,1291243,Personal,Car,PA,Sci Mahanoy,Senior,10,Own,59000,Lower Middle (25-75K),Source Verified,1,0.0665,Low ( ≤10),23,5500,Medium (5-15K),0.079,Low (≤10),172.1,36,Short Term,A,A4,2021-06-11,2021-07-14,2021-07-14,2021-08-14,0.093220339,0.03500339,6172,1.122181818,Fully Recovered (≥100),Fully Paid,Profit,0.477162963,Moderate,3.206535109,Valid
1065254,1299335,Personal,Car,FL,Tech Data Corp,Senior,10,Mortgage,116400,Middle (75-150K),Verified,2,0.0394,Low ( ≤10),31,24000,Large (>15K),0.089,Low (≤10),762.08,36,Short Term,A,A5,2021-09-02,2021-06-15,2021-10-12,2021-11-12,0.206185567,0.078564948,8650,0.360416667,Partially Recovered (25-75),Charged Off,Loss,0.401008135,Moderate,2.694774669,Valid
1064589,1298401,Personal,Car,MI,Teltow Contracting,Senior,10,Mortgage,36000,Lower Middle (25-75K),Not Verified,0,0.1773,Medium (10-20),21,4125,Small (<5K),0.1269,Medium (10-20),93.21,60,Long Term,B,B5,2021-02-09,2021-03-16,2021-03-16,2021-04-16,0.114583333,0.03107,5551,1.34569697,Fully Recovered (≥100),Fully Paid,Profit,0.551870837,Moderate,3.708572024,Valid
